topic,topic_distribution
132,"{'development': np.float64(0.974037301563186), 'establish': np.float64(0.12473019235156188), 'implement': np.float64(0.10669862024338223), 'construction': np.float64(0.09111116025652817), 'build': np.float64(0.08061867260046296), 'generated': np.float64(0.06511966009583156), 'create': np.float64(0.05579496599382834), 'building': np.float64(0.04012359861367164), 'formed': np.float64(0.015162937599109638), 'constructing': np.float64(0.014797078307356886), 'publish': np.float64(0.009354922993482132), 'forming': np.float64(0.002922258729008049), 'rebuilding': np.float64(0.00017581847167017249)}"
133,"{'engaged': np.float64(0.6271426121577907), 'occupied': np.float64(0.48164275149915975), 'complex': np.float64(0.3835658280298698), 'involved': np.float64(0.3359121069341593), 'hard': np.float64(0.22027200074557443), 'organized': np.float64(0.18978276067710712), 'occupy': np.float64(0.13026868241917333), 'running': np.float64(0.07933362349874276), 'filled': np.float64(0.0647929424817456), 'occupying': np.float64(0.05095041904339975), 'busy': np.float64(0.01149530717628997), 'logged': np.float64(0.0050496776597178964)}"
134,"{'e': np.float64(0.6370140340616068), 'g': np.float64(0.4859887397525185), 'l': np.float64(0.47328589562016293), 'cre': np.float64(0.29808145076361064), 'n': np.float64(0.18545382431668722), 'ec': np.float64(0.07837374977013184), 'c': np.float64(0.04178951993326516), 'cd': np.float64(0.04062896125109961), 'v': np.float64(0.02271331707522779), 'q': np.float64(0.022677002749401633), 'tc': np.float64(0.009446227038172723), 'scr': np.float64(0.004360450014249199), 'cir': np.float64(0.004359254174806968), 'cr': np.float64(0.004359254174806968), 'ldcm': np.float64(0.004359254174806968), 'r': np.float64(0.004359254174806968), 'cant': np.float64(0.0030068064534285992), 'f': np.float64(0.0026131696437501147), 'cl': np.float64(0.0020045376356190667), 'fc': np.float64(0.0020045376356190667), 'lc': np.float64(0.00140549897204427), 'ct': np.float64(0.0010022688178095334), 'gr': np.float64(0.0010022688178095334), 'lng': np.float64(0.0010022688178095334), 'z': np.float64(0.00016511550904410287), 'cdd': np.float64(9.619427221818031e-05), 'cuc': np.float64(4.968641061578589e-05), 'chg': np.float64(2.4843205307892946e-05)}"
135,"{'calculation': np.float64(0.9696632933054568), 'considers': np.float64(0.159652053637004), 'performs': np.float64(0.12743463412988001), 'calculates': np.float64(0.10010054173918859), 'determines': np.float64(0.06715652045314928), 'utilizes': np.float64(0.04745498600220647), 'calibrating': np.float64(0.022134756473677374), 'decides': np.float64(0.017237090790141994), 'computationally': np.float64(0.016856967076113658), 'factored': np.float64(0.012412075980978616), 'optimizes': np.float64(0.003948813528563202), 'simulates': np.float64(0.0013289758690005296), 'equation': np.float64(1.4655321576943002e-19)}"
136,"{'monitoring': np.float64(0.7568633491210756), 'setting': np.float64(0.564498188986599), 'estimation': np.float64(0.20489122281607616), 'recalibrations': np.float64(0.19462016917996977), 'refinement': np.float64(0.11321946485706441), 'calibration': np.float64(0.10805541072389513), 'detection': np.float64(0.05833916299087532), 'harmonization': np.float64(0.021013561086272704), 'recalibrated': np.float64(0.01610545930373153), 'sizing': np.float64(0.005962354625168647), 'remeasurement': np.float64(0.0027562026367656768), 'standardising': np.float64(0.00017764361590345699), 'harmonisation': np.float64(0.0001776227758479611)}"
137,"{'mandatory': np.float64(0.7561282391021552), 'typically': np.float64(0.5133304908092596), 'depending': np.float64(0.2799261559969587), 'classified': np.float64(0.2182967203049697), 'constraint': np.float64(0.17256329330109393), 'functional': np.float64(0.08349334965435676), 'conditional': np.float64(0.030509523474286197), 'calling': np.float64(0.02892872567633043), 'classify': np.float64(0.013208988711454614), 'callable': np.float64(0.007640230662134711)}"
138,"{'central': np.float64(0.8806396456842694), 'region': np.float64(0.30129759252146193), 'regional': np.float64(0.22640618264480367), 'divisional': np.float64(0.17602663387505577), 'local': np.float64(0.16825108683067588), 'federal': np.float64(0.10769404209561487), 'compulsory': np.float64(0.07782388033119801), 'locally': np.float64(0.04772124982442847), 'sectoral': np.float64(0.04142928741535231), 'supranational': np.float64(0.02234710609771671), 'centralized': np.float64(0.017094700897749327), 'communate': np.float64(0.016564834067882284), 'divisionally': np.float64(0.012970646721866333), 'segmental': np.float64(0.012970646721866333), 'franc': np.float64(0.00889966058119022), 'regionally': np.float64(0.002282137455412818), 'regionalization': np.float64(0.0021979882107952104), 'district': np.float64(8.838156627340408e-05), 'cantonal': np.float64(5.3853869004784535e-05)}"
139,"{'capital': np.float64(0.9989634621658199), 'top': np.float64(0.031268644126572626), 'covered': np.float64(0.029358511438624724), 'covering': np.float64(0.01247072186273598), 'capitalization': np.float64(0.007832000279529168), 'cap': np.float64(0.0026897108793255686), 'recapitalize': np.float64(0.0015211300035812086), 'recapitalized': np.float64(0.0015211300035812086), 'cope': np.float64(0.0010998093646800962), 'cent': np.float64(0.0010878765697853996), 'capped': np.float64(0.0009225017297904799), 'cpf': np.float64(0.0004653585362820323), 'fic': np.float64(0.00036262552326179977), 'caput': np.float64(0.00018614341451281293), 'capitalised': np.float64(5.020124154545734e-05), 'capitalise': np.float64(1.7822514407182357e-05)}"
140,"{'highly': np.float64(0.8296250358707928), 'conservatively': np.float64(0.42270855332676555), 'thorough': np.float64(0.25890235289464464), 'heavily': np.float64(0.13429399086681393), 'consciously': np.float64(0.1303789803106279), 'selectively': np.float64(0.1303789803106279), 'vigilantly': np.float64(0.09271076830473815), 'carefully': np.float64(0.05137972209617375), 'gradually': np.float64(0.04011795770400282), 'tightly': np.float64(0.031571612394881925), 'responsibly': np.float64(0.006465669739384533), 'thoroughly': np.float64(0.005782440037389882), 'slowly': np.float64(0.004273172654560441), 'caring': np.float64(0.003754846784156348), 'precarious': np.float64(0.003688078454248796), 'importantly': np.float64(0.003688078454248792), 'deeply': np.float64(0.0006832297019946536), 'seriously': np.float64(0.0006832297019946536)}"
141,"{'customer': np.float64(0.9993172201579228), 'staff': np.float64(0.022524044042986368), 'provider': np.float64(0.0163112835539173), 'colleague': np.float64(0.011209214648249479), 'leader': np.float64(0.00987695848149605), 'supervisor': np.float64(0.009873528334360891), 'safeguarding': np.float64(0.0073925682809291), 'family': np.float64(0.007344601141649917), 'custody': np.float64(0.006709303779652949), 'homeowner': np.float64(0.004944081265890741), 'contributor': np.float64(0.004767063521978189), 'job': np.float64(0.004282672417577784), 'foster': np.float64(0.004033022967539537), 'fiduciary': np.float64(0.00364492871247992), 'recipient': np.float64(0.002649294291647391), 'guardian': np.float64(0.002322362615672398), 'fostering': np.float64(0.0021007187299621932), 'healthcare': np.float64(0.001800958970492214), 'facilitator': np.float64(0.0015090698379869472), 'caregiver': np.float64(2.8682956259652386e-05)}"
142,"{'demand': np.float64(0.7723367236997176), 'transfer': np.float64(0.6221626136803902), 'storage': np.float64(0.10962916912189151), 'delivery': np.float64(0.0501195745824524), 'pipeline': np.float64(0.0317150317123455), 'charging': np.float64(0.017019243174074106), 'ship': np.float64(0.01701924317407407), 'logistics': np.float64(0.01210085448318163), 'landing': np.float64(0.009040342940200214), 'filer': np.float64(0.00807670952276574), 'cargo': np.float64(0.000653778474505805), 'warehouse': np.float64(0.0004113743179973228)}"
143,"{'per': np.float64(0.7873864106229106), 'italy': np.float64(0.4455010153843819), 'frank': np.float64(0.2529499151428821), 'eve': np.float64(0.1821655250340155), 'lombard': np.float64(0.16940916090280478), 'monte': np.float64(0.15867027141660864), 'carlo': np.float64(0.1586702714166086), 'ccar': np.float64(0.07022612248127913), 'ciso': np.float64(0.014015030227305365), 'casino': np.float64(0.0073310061870059985), 'cius': np.float64(0.0073310061870059985), 'sergio': np.float64(0.004920558647259772), 'ermotti': np.float64(0.004215975620626485), 'cdio': np.float64(0.004052024881992578), 'nostro': np.float64(0.004052024881992578), 'carsten': np.float64(0.0036656503010113806), 'renata': np.float64(0.0021022265407266184), 'claudia': np.float64(0.0010511132703633092), 'ralph': np.float64(0.001047063361216071), 'kelly': np.float64(0.0007045830266332883), 'karsten': np.float64(0.0005238796730840591), 'lukas': np.float64(0.0005235316806080355), 'henri': np.float64(0.0001743559882630273)}"
144,"{'flow': np.float64(0.8493774112043663), 'trigger': np.float64(0.4896922617443483), 'phased': np.float64(0.10567609469123053), 'cascaded': np.float64(0.10093403551591051), 'scaled': np.float64(0.08272774406914503), 'interrelated': np.float64(0.07238207410097751), 'shifted': np.float64(0.042250600959873055), 'layered': np.float64(0.04139180990244352), 'fluctuated': np.float64(0.041363872034572514), 'unfolded': np.float64(0.010348301160382191), 'scalable': np.float64(0.0012628770307964094), 'steepened': np.float64(0.001082467944046393), 'progression': np.float64(0.0008410843227673946), 'switching': np.float64(0.0008410843227673946), 'trended': np.float64(0.0008410843227673946)}"
145,"{'case': np.float64(0.9695777079933091), 'situation': np.float64(0.1842923209187792), 'circumstance': np.float64(0.12672000430536032), 'task': np.float64(0.0983292748448488), 'picture': np.float64(0.014320180552282678), 'onsite': np.float64(0.004861185084040589), 'proof': np.float64(0.00031505609694457165), 'filing': np.float64(6.883554204202852e-05), 'jury': np.float64(1.1832118194254371e-05)}"
146,"{'view': np.float64(0.9928206439382808), 'live': np.float64(0.07475070030602719), 'play': np.float64(0.07442202350317234), 'lay': np.float64(0.0419380135665655), 'mix': np.float64(0.02887780938163394), 'recording': np.float64(0.019578866102813158), 'seeing': np.float64(0.010501432004991063), 'player': np.float64(0.009596757483223856), 'column': np.float64(0.001090434556969724), 'vote': np.float64(0.0008504762101235681), 'interactive': np.float64(0.0006068666564297126), 'cast': np.float64(0.00037688862950968627), 'flowcast': np.float64(8.257804783395667e-05)}"
147,"{'type': np.float64(0.761205566061145), 'rating': np.float64(0.6231759828135751), 'class': np.float64(0.1635332983570123), 'taxonomy': np.float64(0.049402684065644666), 'categorized': np.float64(0.030335560372508112), 'identifying': np.float64(0.025730401453478057), 'nomenclature': np.float64(0.023531793270635162), 'identifies': np.float64(0.019093199154728777), 'comparing': np.float64(0.013063690893895924), 'designates': np.float64(0.012561764105928349), 'reclassification': np.float64(0.007070368291209801), 'classifies': np.float64(0.006643698081727811), 'subcategories': np.float64(0.0062808820529641745), 'classiﬁ': np.float64(0.005298621328875702), 'segmentation': np.float64(0.0041215833042900435), 'prioritizing': np.float64(0.003983116700845418), 'categorize': np.float64(0.002376978611365326), 'classifying': np.float64(0.001766207109625234), 'hierarchy': np.float64(0.000883103554812617), 'categorization': np.float64(0.0008831035548125205), 'indexation': np.float64(0.0002505529958362533), 'scoping': np.float64(0.0002505529958362533), 'differentiating': np.float64(3.2625074565912154e-05), 'commoditisation': np.float64(1.6312537282956077e-05)}"
148,"{'key': np.float64(0.9925688881586142), 'cdx': np.float64(0.08191314030137516), 'singapore': np.float64(0.044007324266587225), 'cayman': np.float64(0.043771700752819234), 'island': np.float64(0.04377170075281909), 'domiciled': np.float64(0.041074632663278834), 'uk': np.float64(0.02309738805776085), 'ccys': np.float64(0.008909404980364294), 'kyc': np.float64(0.003111933712356788), 'hurricane': np.float64(0.0028485595842931036), 'jones': np.float64(0.002291663884528798), 'tsy': np.float64(0.002087873497448882), 'cyprus': np.float64(0.0009174022083525251), 'cusip': np.float64(0.0006131551982506801), 'copenhagen': np.float64(0.00020491552787433546), 'cx': np.float64(0.00010160467265441356)}"
149,"{'crr': np.float64(0.9819113962379877), 'sfts': np.float64(0.13801939450431314), 'csas': np.float64(0.09809735109491606), 'cso': np.float64(0.043338663880442524), 'rcrmc': np.float64(0.03923894043796642), 'rrrcs': np.float64(0.027656747419639638), 'nfrc': np.float64(0.026286636517651254), 'csa': np.float64(0.02515081970291114), 'frmc': np.float64(0.022125397935711708), 'cfo': np.float64(0.020200804931655617), 'ccfs': np.float64(0.019898414527560346), 'cfp': np.float64(0.011062698967855856), 'nfsr': np.float64(0.010561053474730785), 'rsf': np.float64(0.010561053474730785), 'rcrmf': np.float64(0.005531349483927927), 'fsa': np.float64(0.0009073477609524554), 'lcrs': np.float64(0.0006047808081907901), 'cdss': np.float64(0.0004184164628655221), 'vtcfkpi': np.float64(0.00034868038572126626), 'fva': np.float64(0.00030239040409539504), 'cugf': np.float64(6.973607714424275e-05), 'fsc': np.float64(6.633982618037954e-18), 'ff': np.float64(-1.3695569622701166e-17)}"
150,"{'end': np.float64(0.9623958511473153), 'mitigate': np.float64(0.1896107397878368), 'continues': np.float64(0.17660993412329187), 'decline': np.float64(0.06710078559783655), 'concludes': np.float64(0.03891889084722794), 'ceasing': np.float64(0.014741292643630421), 'cease': np.float64(0.013922776889244733), 'ending': np.float64(0.009767436872794664), 'ceo': np.float64(0.00734735605746298), 'easing': np.float64(0.007106753323024498), 'continuing': np.float64(0.0043654906070706104), 'hesitate': np.float64(0.0012209289319501588), 'lapse': np.float64(0.0012209289319501588), 'retire': np.float64(0.0005479877065397118), 'ceiling': np.float64(0.0004024131775643055), 'desist': np.float64(0.0004024131775643055), 'seize': np.float64(0.00015456217895363486)}"
151,"{'ecl': np.float64(0.6690399120350822), 'cet': np.float64(0.6302396438232424), 'traded': np.float64(0.3570079249364532), 'crd': np.float64(0.1560442737387749), 'letter': np.float64(0.05556253952299191), 'issuing': np.float64(0.012624112340323828), 'cedulas': np.float64(0.010069610094586352), 'numis': np.float64(0.005109004491474951), 'decimal': np.float64(0.002244812008553356), 'tations': np.float64(0.00010704026327050421)}"
